阴阳师玩家昵称最多多少个字-C. 8
大蛇的逆麟（紫蛇皮）的上限是多少-C. 3000
剧情中，草薙剑的碎片藏在何处？-A. 冥府
海国军队攻打的第一个地区是-A. 荒川
黑晴明是如何通过什么法术产生的?-A. 阴阳分离术
初始庭院皮肤中八百比丘尼上方的风铃有什么作用？-A. 点击可以更换bgm
以下哪个是驱散技能-A. 天之泪
云外镜的头发哪里来的-A. 觉醒的力量
以下哪个式神常用于逢魔之时副本-A. 丑时之女
升级式神需要消耗的道具或材料不包含以下哪一个？-D. 神秘的符咒
大岳丸的老师是-B. 海鸣
茨木呱的妹妹是谁？-A. 辉夜姬呱
小白(白藏主)会游泳吗？-A. 不会
以下技能中，能够提高友方速度的技能是？-D. 余音
荒骷髅的主人是谁？-C. 彼岸花
可以在秘卷屋中兑换的道具有？-B. 其余选项皆对
sp式神稻荷神御馔津身边有几只狐狸-B. 四只
黑童子是哪里的妖怪-B. 地府
以下式神中，坐在锅妖上的是？-B. 孟婆
庭院左边活动灯笼许愿架上站着什么动物？-D. 乌鸦
以下式神中，哪一位来自冥府？-A. 阎魔
头像框-月见黑的获得方式是？-A. 完成成就非洲·阴阳师
妖狐试图掳走的妖怪是？-A. 鲤鱼精
辉夜姬在竹林里听到的谁的笛声-B. 万年竹
游戏内首领的御魂礼盒每周能买多少个-C. 20
铃鹿山的少主是？-C. 大岳丸
第一个皮肤副本（秘闻副本）获得的皮肤的名字？-B. 稚兔童心
以下技能中，能够沉默敌人的技能是？-D. 天降之物
小鹿男曾经生活在-A. 森林
酒吞童子喜欢的人是谁？-C. 鬼女红叶
以下哪位式神不会召唤分身？-B. 万年竹
白狼擅长的是？-A. 弓箭
一目连曾经是-C. 风神
满足什么条件后，就能够将式神放置于庭院内？-A. 解锁传记一至三
茨木呱的妹妹是谁？-A. 辉夜姬呱
以下技能中，附加控制效果的是？-A. 暴风雪
唐纸伞妖的1技能叫什么名字？-A. 我顶
挑战年兽副本，需要消耗多少体力？-D. 12
以下妖怪中，能够吞食噩梦的是？-D. 食梦貘
以下式神中，谁的尾巴数最多？-D. 三尾狐
不知火离殇形态大招叫什么？-B. 烬染不夜
剧情中，辉夜姬的好朋友是谁？-A. 金鱼姬
以下式神中，坐在锅妖上的是？-D. 孟婆
以下哪个不是椒图的技能效果？-D. 冰冻攻击目标
以下技能中，能够保护友方的技能是？-A. 风神之佑
以下哪位式神的羽毛有毒？-A. 鸩
以下哪个技能是单体伤害技能？-A. 无我
剧情中，将神乐抓到黑夜山的妖怪是谁？-B. 食发鬼
以下式神中，声优和其他不一样的是？-D. 童男
以下妖怪中，被称为风神的是谁？-C. 一目连
剧情中，将神乐抓到黑夜山的妖怪是谁？-C. 食发鬼
以下哪个技能是单体伤害技能？-B. 无我
孟婆的锅叫什么名字-B. 牙牙
御魂「网切」的四件套可能触发的效果是？-A. 无视目标部分防御
截至2020年1月1日八岐大蛇的最新皮肤叫什么名字-A. 祸隐狭间
胧车是谁的部下？-A. 玉藻前
截至2020年1月1日皮肤商店价格最低的皮肤属于以下哪位式神？-C. 犬神
挑战年兽副本，需要消耗多少体力？-A. 12
以下式神中，擅长舞蹈的是？-A. 樱花妖
召唤新式神需要消耗的道具是？-A. 神秘的符咒
满足什么条件后，就能够将式神放置于庭院内？-C. 解锁传记一至三
觉醒材料有几种？-A. 4
以下式神中，从画中而生的是？-A. 花鸟卷
以下式神中，哪一位是可爱的女孩子？-C. 座敷童子
